anno,quadrimestre,numero_teleassistenze,incremento,incremento_teleassistenze
2019,1,16571,0.0,Piccolo Decremento
2019,2,31180,0.0,Piccolo Decremento
2019,3,32957,0.0,Piccolo Decremento
2020,1,36955,20384.0,Grande Incremento
2020,2,43707,12527.0,Piccolo Incremento
2020,3,59237,26280.0,Grande Incremento
2021,1,55793,18838.0,Grande Incremento
2021,2,47811,4104.0,Piccolo Incremento
2021,3,42380,-16857.0,Grande Decremento
2022,1,39235,-16558.0,Grande Decremento
2022,2,40069,-7742.0,Piccolo Decremento
2022,3,38396,-3984.0,Piccolo Decremento
